event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
12767010,TRUE,2000/10/30 0:02,16.528566,2.728535,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767011,TRUE,2000/10/30 6:02,16.518697,2.75566,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767012,TRUE,2000/10/30 12:02,16.518856,2.755179,25.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767013,TRUE,2000/10/30 18:02,16.548477,2.766613,25.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767014,TRUE,2000/10/31 0:03,16.598725,2.762454,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767015,TRUE,2000/10/31 6:03,16.61746,2.726978,22,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767016,TRUE,2000/10/31 12:02,16.616768,2.724455,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767017,TRUE,2000/10/31 18:02,16.649349,2.727161,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767018,TRUE,2000/11/1 0:01,16.681519,2.701609,22.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767019,TRUE,2000/11/1 6:02,16.684636,2.700741,22.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767020,TRUE,2000/11/2 6:02,16.692133,2.73106,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767021,TRUE,2000/11/3 0:02,16.697337,2.737385,22,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767022,TRUE,2000/11/3 6:02,16.694624,2.73518,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767023,TRUE,2000/11/3 18:02,16.688541,2.702085,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767024,TRUE,2000/11/4 0:02,16.698226,2.688863,23.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767025,TRUE,2000/11/4 1:01,16.698668,2.689589,23,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767026,TRUE,2000/11/4 2:01,16.698433,2.68978,22.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767027,TRUE,2000/11/4 3:01,16.698254,2.689992,23,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767028,TRUE,2000/11/4 4:01,16.700089,2.691467,22.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767029,TRUE,2000/11/4 5:02,16.700512,2.692165,22,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767030,TRUE,2000/11/4 6:01,16.702358,2.697711,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767031,TRUE,2000/11/4 7:01,16.700431,2.70241,22,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767032,TRUE,2000/11/4 8:02,16.700309,2.702469,22.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767033,TRUE,2000/11/4 9:02,16.702198,2.704538,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767034,TRUE,2000/11/4 10:03,16.702896,2.704141,25.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767035,TRUE,2000/11/4 11:01,16.703279,2.704019,25.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767036,TRUE,2000/11/4 18:02,16.700257,2.721796,25.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767037,TRUE,2000/11/4 19:02,16.700292,2.724642,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767038,TRUE,2000/11/4 20:02,16.699345,2.724127,24.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767039,TRUE,2000/11/4 23:02,16.699088,2.724369,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767040,TRUE,2000/11/5 1:02,16.698923,2.724003,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767041,TRUE,2000/11/5 2:01,16.698724,2.723908,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767042,TRUE,2000/11/5 3:01,16.698649,2.723788,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767043,TRUE,2000/11/5 4:01,16.69878,2.723489,23.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767044,TRUE,2000/11/5 5:02,16.698226,2.72386,23.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767045,TRUE,2000/11/5 6:02,16.690082,2.720928,23,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767046,TRUE,2000/11/5 7:01,16.687526,2.721595,23,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767047,TRUE,2000/11/5 8:02,16.682873,2.722064,23,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767048,TRUE,2000/11/5 9:02,16.681994,2.725388,24,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767049,TRUE,2000/11/5 10:02,16.680971,2.729998,24.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767050,TRUE,2000/11/5 11:02,16.682423,2.732064,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767051,TRUE,2000/11/5 12:02,16.685185,2.732878,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767052,TRUE,2000/11/5 13:02,16.686108,2.735583,25.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767053,TRUE,2000/11/5 20:02,16.681141,2.733402,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767054,TRUE,2000/11/5 21:02,16.680887,2.73332,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767055,TRUE,2000/11/6 2:02,16.680415,2.732914,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767056,TRUE,2000/11/6 4:01,16.680182,2.733006,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767057,TRUE,2000/11/6 5:02,16.681042,2.734059,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767058,TRUE,2000/11/6 6:01,16.676175,2.736851,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767059,TRUE,2000/11/6 7:01,16.680224,2.738148,21.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767060,TRUE,2000/11/6 9:02,16.685072,2.740349,22,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767061,TRUE,2000/11/6 10:02,16.684524,2.737878,22.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767062,TRUE,2000/11/6 11:02,16.683919,2.735851,23.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767063,TRUE,2000/11/6 12:01,16.681526,2.734079,24.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767064,TRUE,2000/11/6 13:02,16.683075,2.730474,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767065,TRUE,2000/11/6 14:02,16.684948,2.726976,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767066,TRUE,2000/11/6 16:02,16.683256,2.719917,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767067,TRUE,2000/11/6 17:03,16.677319,2.714797,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767068,TRUE,2000/11/6 18:01,16.675112,2.708741,25,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767069,TRUE,2000/11/6 19:01,16.671802,2.70611,24.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
12767070,TRUE,2000/11/6 21:02,16.670842,2.699922,23.5,gps,Loxodonta africana,#1819147,99,Forest Elephant Telemetry Programme
