event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,external-temperature,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1930863794,TRUE,2005/2/17 5:05 AM,31.76642049,-24.53730062,,24.3,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863795,TRUE,2005/2/17 6:08 AM,31.76442057,-24.53931071,,29.5,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863796,TRUE,2005/2/17 7:05 AM,31.76114095,-24.54798991,,35.8,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863797,TRUE,2005/2/17 8:05 AM,31.76079915,-24.54702962,,37.3,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863798,TRUE,2005/2/17 9:05 AM,31.75982056,-24.5468099,,38.9,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863799,TRUE,2005/2/17 10:05 AM,31.75968018,-24.54679972,,39.6,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863800,TRUE,2005/2/17 11:05 AM,31.76010946,-24.54682007,,40,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863801,TRUE,2005/2/17 12:05 PM,31.76019084,-24.54685059,,38.1,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863802,TRUE,2005/2/17 1:05 PM,31.76015015,-24.54686076,,38.5,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863803,TRUE,2005/2/17 2:05 PM,31.76317952,-24.54720052,,38.9,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863804,TRUE,2005/2/17 3:05 PM,31.7651001,-24.54508057,,40.4,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863805,TRUE,2005/2/17 4:05 PM,31.77801921,-24.54230957,,36.2,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863806,TRUE,2005/2/17 5:05 PM,31.78675944,-24.53743083,,31,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863807,TRUE,2005/2/17 6:05 PM,31.78705037,-24.53520915,,28.8,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863808,TRUE,2005/2/17 7:05 PM,31.78388062,-24.53413086,,28.4,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863809,TRUE,2005/2/17 8:05 PM,31.78398031,-24.53410034,,27.3,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863810,TRUE,2005/2/17 9:05 PM,31.78395996,-24.53420003,,26.9,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863811,TRUE,2005/2/17 10:05 PM,31.77214966,-24.52788086,,26.6,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863812,TRUE,2005/2/17 11:05 PM,31.76939087,-24.52658081,,26.9,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863813,TRUE,2005/2/18 12:05 AM,31.75842082,-24.53082072,,26.2,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863814,TRUE,2005/2/18 1:05 AM,31.75701904,-24.53140055,,25.8,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863815,TRUE,2005/2/18 2:05 AM,31.75704956,-24.53166097,,25.5,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863816,TRUE,2005/2/18 3:05 AM,31.75718994,-24.53240967,,25.5,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863817,TRUE,2005/2/18 4:05 AM,31.75715942,-24.53245036,,25.5,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863818,TRUE,2005/2/18 5:05 AM,31.74597982,-24.53848063,,28.8,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863819,TRUE,2005/2/18 6:05 AM,31.74734904,-24.54274089,,34.3,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863820,TRUE,2005/2/18 7:05 AM,31.74603068,-24.54294027,,35.1,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863821,TRUE,2005/2/18 8:05 AM,31.74616089,-24.54302979,,33.6,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
1930863822,TRUE,2005/2/18 9:05 AM,31.74621989,-24.54302979,,35.8,,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa"
